light_caption,dark_caption,light_id,dark_id
A woman bending down to pet a baby elephant.,An elephant sitting while its trainer cleans it with a broom.,13550,301684
A woman in white shirt climbing onto an elephant.,A caretaker looks after a small brown elephant,18896,44165
A man holding the bridles of a horse.,a person riding a horse on a track,16237,103837
A cheesy pizza sitting on top of a table.,That pizza is four times the size of a normal pizza. ,397,83850
Two beautiful young ladies giving an elephant a bath in a river.,A man scrubs down an elephant in a water hole.,1164,509891
A raw piece of broccoli with something growing from it. ,A small kid reaching by a very big plate of food.,19221,38710
A man standing next to an elephant who stole his hat with it's trunk.,A group of people that are around a elephant.,22423,142574
A woman posing for the camera standing on skis.,"Two snowboarders are standing with one foot strapped into their boards and one foot out, at the top of a mountain. ",785,302405
A woman guiding a horse that is pulling a carriage,A white horse pulling a cart down a street.,9813,436164
A cute young woman pets the head of a baby elephant in a zoo.,A man walks down a street with an elephant.,27478,229150
A man getting a kiss on the neck from an elephant's trunk,Two people are riding elephants beside some trees.,6894,267191
A silver colored necklace with a pair of mini scissors on it.,A woman holding a plate of cake covered in frosting.,6393,63965
A large bus parked on a handicapped parking space.,A close up of the front and of a bus.,39368,557819
A group of men riding on the back of a motorcycle.,a couple of people on some motorcycles ,10104,49881
A man walking down the street beside a big bus. ,A red double decker bus with a busted out window crashing into a large truck.,5535,363527
A woman holding a tennis racquet on a tennis court.,A tennis player is holding his tennis racquet up.,19663,45136
there are many baseball players greeting each other on the field,A group of men on a field playing baseball.,10442,290875
a man wearing leather riding on a motorcycle ,A man leans over his motorcycle and rests one hand on the leather seat.,11538,81103
A beautiful young lady walking down a street in the rain.,A couple of men on cell phones on a street with cars.,34930,441736
A man riding a wave on to of a surfboard.,A surfer on a white board riding a small wave.,20276,532493
A train traveling down train tracks near a city.,the people are standing on a train track ,23879,36049
A woman sits on a bed with pillows.,A little girl sitting on top of a bed next to a lamp.,5038,46048
A man walking an elephant inside of a circus ring.,A person standing next to a large elephant.,26026,52982
a tennis player with a racket on a court,A young lady standing on a  tennis court with a racquet.,11567,363673
A woman swinging a tennis racket at a tennis ball.,A woman standing on a tennis court with a  tennis racquet.,10123,509867
 a little girl holding onto a tennis racket with both hands ,A beautiful young blonde woman holding a tennis racquet on a tennis court.,2239,513946
A woman sitting at a table topped with pizza.,A group of people sitting at a table with pizza.,12576,264155
A family of five takes a ride on an elephant.,A crowd of people taking pictures of baby elephants ,25804,449981
A black and white photo of people at a train station ,A crowd of people unloading from a long train.,26802,215439
A pitcher winding up to throw a pitch in a San Francisco uniform.,A baseball player taking a swing at a ball.,40886,277761
A motor bike on a road with people seated on the roadside,A person standing next to a couple of motor bikes.,33815,326368
The tennis player is extending his reach to hit the racket. ,A tennis player contorts his body to hold his racket far back on the court.,25144,465199
A man riding a large wave on a surfboard in the ocean.,A man surfing on a wave during the day.,10698,214199
A person on a motorcycle is next to parked bicycles on the sidewalk.,A group of men on bikes hitching a ride on the back of a bus.,31092,322922
A plate of bread with jam and powdered sugar on it. ,A half eaten sandwich sitting on a plate on a table.,22690,179720
An elephant walking behind a man in a park.,A large elephant walking next to a man,35807,11340
Male tennis player about to deliver hit to tennis ball.,A woman is holding a tennis racquet on the tennis court,15738,467138
A team of young men playing a game of baseball.,A baseball player pitching a baseball during a game.,8119,197492
there is a male surfer that is riding in the wave,A man riding a wave on a surfboard in the ocean.,7278,557459
A man tossing a frisbee over the ocean on the beach.,A man running on the beach with a surfboard.,1987,350167
Three people with a video game remote in their hands. ,Two young men are playing Wii soccer together.,17425,201045
A tennis player in an orange skirt walks off the court.,Tennis player and blue-and-white outfit holding a racket. ,23584,412798
A man standing next to a bikes and a motorcycle.,A bicycle parked on top of a baby dolls head.,11149,508370
A man in a suit standing next to a control board and computer.,Two Indian students regard the contents of a computer screen,9483,499242
A man in a wet suit riding a surfboard on a wave.,A man on a surfboard that is in the water.,15303,62198
A baseball player holding a bat next to home base.,a pitcher throwing a ball from the mound ,4736,103815
A man hitting a tennis ball with a tennis racquet.,A woman holding a tennis racquet on a tennis court.,25424,32081
A lady holding an umbrella is walking with a lady in the wheel chair. ,A man that is holding an umbrella in the grass.,5325,18666
THIS IS A HUGE SHIP THAT HAS LOTS OF PEOPLE ABOARD,A view of a person walking towards a house boat.,21889,428403
A man standing on top of a base on a field.,A baseball batter takes a mighty swing as the catcher and umpire look on.,15469,464087
